id , phrase
320  , FLAT STANLEY
321  , FLYING REINDEER
322  , FLYNN RIDER
323  , FOGHORN LEGHORN
324  , FORREST GUMP
325  , FOX MULDER
326  , FOX MULDER & DANA SCULLY
327  , FOZZIE BEAR
328  , FRANK BULLITT
329  , FRANK UNDERWOOD
330  , FRANKENSTEIN
331  , FRASIER CRANE
332  , FREAKISH FIEND
333  , FRED & ETHEL MERTZ
334  , FRED & LAMONT SANFORD
335  , FRED FLINSTONE
336  , FRED FLINSTONE & BARNEY RUBBLE
337  , FRED FLINTSTONE
338  , FRED FLINTSTONE & BARNEY RUBBLE
339  , FRED FLINTSTONE'S BOSS MR SLATE
340  , FRED DAPHNE VELMA AND SHAGGY
341  , FREDDY KRUEGER
342  , FRIAR TUCK
343  , FRIENDLY ALIEN
344  , FRIENDLY EXTRA-TERRESTRIALS
345  , FRIGHTFUL GOBLINS
346  , FRIGHTFUL OGRE
347  , FRODO & BILBO
348  , FRODO AND BILBO
349  , FRODO BAGGINS
350  , FROST GIANTS
351  , FROSTY THE SNOWMAN
352  , FUNSHINE BEAR
353  , GI JOE
354  , GAEA & OCEANUS
355  , GAEA THE GODDESS OF THE EARTH
356  , GALACTUS
357  , GALADRIEL
358  , GAMBIT
359  , GANDALF THE WIZARD
360  , GARGOYLE
361  , GARGOYLES & WITCHES
362  , GEICO GECKO
363  , GENIE IN A BOTTLE
364  , GEORGE & LOUISE JEFFERSON
365  , GEORGE JANE ELROY & JUDY JETSON
366  , GEORGE OF THE JUNGLE
367  , GEORGIA ON MY MIND BY RAY CHARLES
368  , GEORGIE PORGIE
369  , GHOST OF CHRISTMAS FUTURE
370  , GHOST OF CHRISTMAS PAST
371  , GHOST PIRATE
372  , GHOST PIRATES
373  , GHOST RIDER
374  , GHOSTLY APPARITION
375  , GHOSTS & GOBLINS
376  , GIDGET
377  , GIGGLING GHOULS
378  , GILLIGAN & THE SKIPPER
379  , GINGER & MARY ANN
380  , GLINDA THE GOOD WITCH
381  , GLORIA DELGADO-PRITCHETT
382  , GNOMES & FAIRIES
383  , GNOMES & GOBLINS
384  , GNOMES AND FAIRIES
385  , GOBLIN PRINCE
386  , GOBLINS & FAIRIES
387  , GOBLINS & GIANTS
388  , GOBLINS & MONSTERS
389  , GOD OF THUNDER
390  , GODDESS HATHOR
391  , GODDESS LIBERTAS
392  , GODZILLA
393  , GOLDILOCKS
394  , GONZO THE GREAT
395  , GOOBER PYLE
396  , GOOFY & DONALD DUCK
397  , GORILLA GRODD
398  , GORILLA GRUDD
399  , GOTHAM CITY'S COMMISSIONER GORDON
400  , GREEK GODDESS APHRODITE
401  , GREEK GODS & GODDESSES
402  , GREEK HEROES
403  , GREEN ARROW
404  , GREEN GOBLIN
405  , GREEN LANTERN
406  , GREEN MONSTERS
407  , GREG PETER & BOBBY BRADY
408  , GREG PETER AND BOBBY BRADY
409  , GRIFFIN
410  , GRIGORY RASPUTIN
411  , GRIM REAPER
412  , GROVER & OSCAR THE GROUCH
413  , GUMBY
414  , GUMBY & POKEY
415  , HADES KING OF THE UNDERWORLD
416  , HADES THE GOD OF THE NETHERWORLD
417  , HAMLET
418  , HAN SOLO & CHEWBACCA
419  , HANDSOME PRINCE
420  , HANDSOME SUITORS
421  , HANK PYM
422  , HANNIBAL LECTER
423  , HANSEL & GRETEL
424  , HAPPY & GRUMPY
425  , HARLEY QUINN
426  , HAROLD HALL
427  , HAROLD HILL
428  , HARRIET THE SPY
429  , HARRY & SALLY
430  , HARRY POTTER
431  , HAWKEYE
432  , HAWKEYE PIERCE
433  , HEADLESS HORSEMAN
434  , HECKLE & JECKLE
435  , HECKLE AND JECKLE
436  , HELLO KITTY
437  , HERBIE THE LOVE BUG
438  , HERCULE POIROT
439  , HERCULES
440  , HERCULES & ZEUS
441  , HERCULES POIROT
442  , HERMAN & LILY MUNSTER
443  , HERMES & APOLLO
444  , HERMES MESSENGER OF THE GODS
445  , HERMIONE GRANGER
446  , HEROES & GODS
447  , HESTIA GODDESS
448  , HESTIA GODDESS OF FAMILY
449  , HIGH SCHOOL MASCOT
450  , HIGH SPARROW
451  , HOBGOBLIN
452  , HOLDEN CAULFIELD
453  , HOLDEN COLFIELD
454  , HOMER
455  , HOMER SIMPSON
456  , HOWARD THE DUCK
457  , HOWLING WEREWOLVES
458  , HUEY DEWEY & LOUIE
459  , HUEY DEWEY AND LOUIE
460  , HULK VILLAIN ABOMINATION
461  , HUMPTY DUMPTY
462  , HUNTER ROSE
463  , HYDRA
464  , ICARUS & DAEDALUS
465  , ICE GIANTS
466  , ICEMAN
467  , ICHABOD CRANE
468  , IMAGINARY FRIEND
469  , IMAGINARY FRIENDS
470  , INDIANA JONES
471  , INSPECTOR GADGET
472  , JABBA THE HUTT
473  , JABBERJAW
474  , JACK & JILL
475  , JACK FROST
